,Año,Cantidad,Categoría
0,1981.0,1,Mafia
1,1982.0,1,Mafia
2,1983.0,1,Grand Prix
3,1984.0,1,Arena
4,1984.0,1,Grand Prix
5,1985.0,1,Grand Prix
6,1988.0,1,Chameleon
7,1990.0,1,Robin Hood
8,1991.0,1,Robin Hood
9,1994.0,1,Robin Hood
10,1997.0,1,Arena
11,1998.0,1,Grand Prix
12,1999.0,1,Robin Hood
13,2001.0,1,Chameleon
14,2002.0,1,Arena
15,2003.0,1,Arena
16,2003.0,1,Chameleon
17,2004.0,1,Arena
18,2005.0,1,Chameleon
19,2005.0,1,Arena
20,2006.0,1,Chameleon
21,2006.0,1,Grand Prix
22,2007.0,1,Mafia
23,2007.0,1,Arena
24,2008.0,1,Mafia
25,2010.0,1,Arena
26,2011.0,1,Robin Hood
27,2011.0,1,Grand Prix
28,2012.0,1,Mafia
29,2016.0,1,Grand Prix
30,2016.0,1,Arena
31,2019.0,1,Chameleon
32,2019.0,1,Mafia
33,2019.0,1,Robin Hood
34,2020.0,2,Chameleon
35,2021.0,1,Robin Hood
36,2022.0,1,Grand Prix
