speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
soulap1,Queltehue común,Vanellus chilensis,L50713726,"1331 Regidor Gustavo Binder, Osorno, Los Lagos, CL (-40,598, -73,101)",2025-07-29 22:42,2.0,-40.5978377,-73.1013386,True,False,True,S263754431,
brnowl,Lechuza,Tyto furcata,L50713726,"1331 Regidor Gustavo Binder, Osorno, Los Lagos, CL (-40,598, -73,101)",2025-07-29 22:42,1.0,-40.5978377,-73.1013386,True,False,True,S263754431,
rucspa1,Chincol,Zonotrichia capensis,L8304582,"Conjunto Los Ceibos, Viña del Mar",2025-07-29 21:47,1.0,-33.0142822,-71.5517172,True,False,True,S263701971,
bcnher,Huairavo común,Nycticorax nycticorax,L50704827,"661 Cerro Tronador, Chiguayante, Bío Bío, CL (-36.942, -73.025)",2025-07-29 18:35,3.0,-36.9422931,-73.0247112,True,False,True,S263715038,
calqua,Codorniz,Callipepla californica,L30708017,Portezuelo conexión Renca-Quilicura,2025-07-29 18:30,1.0,-33.3917945,-70.7233454,True,False,False,S264010088,N
burowl,Pequén,Athene cunicularia,L30708017,Portezuelo conexión Renca-Quilicura,2025-07-29 18:30,2.0,-33.3917945,-70.7233454,True,False,False,S264010088,
grhowl2,Tucúquere,Bubo magellanicus,L6462614,PN Bosque Fray Jorge--Administración,2025-07-29 18:19,3.0,-30.6749726,-71.6352126,True,False,False,S263685333,
aupowl1,Chuncho austral,Glaucidium nana,L6462614,PN Bosque Fray Jorge--Administración,2025-07-29 18:19,1.0,-30.6749726,-71.6352126,True,False,False,S263685333,
dustap1,Churrín del norte,Scytalopus fuscus,L6462614,PN Bosque Fray Jorge--Administración,2025-07-29 18:19,1.0,-30.6749726,-71.6352126,True,False,False,S263685333,
austhr1,Zorzal patagónico,Turdus falcklandii,L28613975,"Almirante Grau 2719, Quilpué CL-Región de Valparaíso (-33.0718,-71.4162)",2025-07-29 18:16,1.0,-33.071847,-71.416238,True,False,True,S263678147,
ausbla1,Tordo,Curaeus curaeus,L28613975,"Almirante Grau 2719, Quilpué CL-Región de Valparaíso (-33.0718,-71.4162)",2025-07-29 18:16,2.0,-33.071847,-71.416238,True,False,True,S263678147,
kelgul,Gaviota dominicana,Larus dominicanus,L49513798,Bodenor Ingram,2025-07-29 18:03,600.0,-33.3837176,-70.7675039,True,True,True,S263673936,
ameoys,Pilpilén común,Haematopus palliatus,L12050710,Complejo Humedal Rocuant-Andalién--Playa Isla Los Reyes,2025-07-29 17:53,8.0,-36.7294982,-73.0922676,True,False,False,S263691852,
colplo1,Chorlo de collar,Anarhynchus collaris,L12050710,Complejo Humedal Rocuant-Andalién--Playa Isla Los Reyes,2025-07-29 17:53,3.0,-36.7294982,-73.0922676,True,False,False,S263691852,
whimbr,Zarapito común,Numenius phaeopus,L12050710,Complejo Humedal Rocuant-Andalién--Playa Isla Los Reyes,2025-07-29 17:53,2.0,-36.7294982,-73.0922676,True,False,False,S263691852,
silgre1,Blanquillo,Podiceps occipitalis,L12050710,Complejo Humedal Rocuant-Andalién--Playa Isla Los Reyes,2025-07-29 17:53,21.0,-36.7294982,-73.0922676,True,False,False,S263691852,
perboo1,Piquero de Humboldt,Sula variegata,L12050710,Complejo Humedal Rocuant-Andalién--Playa Isla Los Reyes,2025-07-29 17:53,1.0,-36.7294982,-73.0922676,True,False,False,S263691852,
greegr,Garza grande,Ardea alba,L12050710,Complejo Humedal Rocuant-Andalién--Playa Isla Los Reyes,2025-07-29 17:53,1.0,-36.7294982,-73.0922676,True,False,False,S263691852,
blkvul,Jote de cabeza negra,Coragyps atratus,L12050710,Complejo Humedal Rocuant-Andalién--Playa Isla Los Reyes,2025-07-29 17:53,3.0,-36.7294982,-73.0922676,True,False,False,S263691852,
turvul,Jote de cabeza colorada,Cathartes aura,L12050710,Complejo Humedal Rocuant-Andalién--Playa Isla Los Reyes,2025-07-29 17:53,1.0,-36.7294982,-73.0922676,True,False,False,S263691852,
chicar1,Tiuque,Daptrius chimango,L12050710,Complejo Humedal Rocuant-Andalién--Playa Isla Los Reyes,2025-07-29 17:53,1.0,-36.7294982,-73.0922676,True,False,False,S263691852,
corpip1,Bailarín chico común,Anthus correndera,L12050710,Complejo Humedal Rocuant-Andalién--Playa Isla Los Reyes,2025-07-29 17:53,2.0,-36.7294982,-73.0922676,True,False,False,S263691852,
gryfin1,Chirihue común,Sicalis luteola,L12050710,Complejo Humedal Rocuant-Andalién--Playa Isla Los Reyes,2025-07-29 17:53,1.0,-36.7294982,-73.0922676,True,False,False,S263691852,
bkfibi1,Bandurria común,Theristicus melanopis,L24797075,Frutillar Bajo,2025-07-29 17:52,,-41.1375266,-73.0268998,True,False,False,S263675367,
dabcin1,Churrete patagónico,Cinclodes patagonicus,L24797075,Frutillar Bajo,2025-07-29 17:52,1.0,-41.1375266,-73.0268998,True,False,False,S263675367,
rocpig,Paloma doméstica,Columba livia,L50719009,"91 Esmeralda, Puerto Montt, Los Lagos, CL (-41.473, -72.929)",2025-07-29 17:48,3.0,-41.4729372,-72.9294263,True,False,True,S263781791,N
rinkin1,Martín pescador,Megaceryle torquata,L44273902,"Ruta V-630, Los Muermos",2025-07-29 17:48,1.0,-41.455369,-73.528328,True,False,True,S263961542,
snoegr,Garza chica,Egretta thula,L20473017,Universidad de Concepción--Campus Chillán,2025-07-29 17:36,2.0,-36.595976,-72.0841944,True,False,False,S263673229,
slbpar1,Choroy,Enicognathus leptorhynchus,L50694292,"S-465, Freire, Araucanía, CL (-38.945, -72.54)",2025-07-29 17:36,167.0,-38.9446909,-72.5404576,True,True,True,S263669961,
tuttyr1,Cachudito común,Anairetes parulus,L20473017,Universidad de Concepción--Campus Chillán,2025-07-29 17:36,2.0,-36.595976,-72.0841944,True,False,False,S263673229,
houwre4,Chercán común,Troglodytes musculus,L20473017,Universidad de Concepción--Campus Chillán,2025-07-29 17:36,1.0,-36.595976,-72.0841944,True,False,False,S263673229,
rucdot1,Chorlo chileno,Zonibyx modestus,L10559998,Canal El Morro--Desembocadura,2025-07-29 17:35,73.0,-36.7233074,-73.1026922,True,False,False,S263691423,
hudgod,Zarapito de pico recto,Limosa haemastica,L10559998,Canal El Morro--Desembocadura,2025-07-29 17:35,1.0,-36.7233074,-73.1026922,True,False,False,S263691423,
neocor,Yeco,Nannopterum brasilianum,L10559998,Canal El Morro--Desembocadura,2025-07-29 17:35,33.0,-36.7233074,-73.1026922,True,False,False,S263691423,
yebpin1,Pato jergón grande,Anas georgica,L42214155,"205 Federico Arcos, Coquimbo, Coquimbo, CL (-29.894, -71.261)",2025-07-29 17:31,2.0,-29.8941867,-71.2610757,True,False,True,S263673412,
yebtea1,Pato jergón chico,Anas flavirostris,L42214155,"205 Federico Arcos, Coquimbo, Coquimbo, CL (-29.894, -71.261)",2025-07-29 17:31,4.0,-29.8941867,-71.2610757,True,False,True,S263673412,
pigdov1,Tortolita cuyana,Columbina picui,L42214155,"205 Federico Arcos, Coquimbo, Coquimbo, CL (-29.894, -71.261)",2025-07-29 17:31,3.0,-29.8941867,-71.2610757,True,False,True,S263673412,
wepdov1,Paloma de alas blancas,Zenaida meloda,L42214155,"205 Federico Arcos, Coquimbo, Coquimbo, CL (-29.894, -71.261)",2025-07-29 17:31,1.0,-29.8941867,-71.2610757,True,False,True,S263673412,
eardov1,Tórtola,Zenaida auriculata,L42214155,"205 Federico Arcos, Coquimbo, Coquimbo, CL (-29.894, -71.261)",2025-07-29 17:31,1.0,-29.8941867,-71.2610757,True,False,True,S263673412,
grbfir1,Picaflor chico,Sephanoides sephaniodes,L42214155,"205 Federico Arcos, Coquimbo, Coquimbo, CL (-29.894, -71.261)",2025-07-29 17:31,2.0,-29.8941867,-71.2610757,True,False,True,S263673412,
oashum1,Picaflor del norte,Rhodopis vesper,L42214155,"205 Federico Arcos, Coquimbo, Coquimbo, CL (-29.894, -71.261)",2025-07-29 17:31,4.0,-29.8941867,-71.2610757,True,False,True,S263673412,
