FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
230101;0000;7;;;
230102;0000;5;;;
230103;0000;6;;;
230104;0000;5;;;
230105;0000;4;;;
230106;0000;6;;;
230107;0000;7;;;
230108;0000;5;;;
230109;0000;8;;;
230110;0000;5;;;
230111;0000;5;;;
230112;0000;5;;;
230113;0000;5;;;
230114;0000;8;;;
230115;0000;26;;;
230116;0000;12;;;
230117;0000;9;;;
230118;0000;12;;;
230119;0000;8;;;
230120;0000;6;;;
230121;0000;8;;;
230122;0000;3;;;
230123;0000;7;;;
230124;0000;3;;;
230125;0000;4;;;
230126;0000;6;;;
230127;0000;5;;;
230128;0000;8;;;
230129;0000;10;;;
230130;0000;2;;;
230131;0000;6;;;
230201;0000;11;;;
230202;0000;25;;;
230203;0000;;;;
230204;0000;;;;
230205;0000;;;;
230206;0000;142;;;
230207;0000;118;;;
230208;0000;159;;;
230209;0000;91;;;
230210;0000;58;;;
230211;0000;57;;;
230212;0000;5;;;
230213;0000;5;;;
230214;0000;8;;;
230215;0000;5;;;
230216;0000;6;;;
230217;0000;9;;;
230218;0000;27;;;
230219;0000;37;;;
230220;0000;34;;;
230221;0000;28;;;
230222;0000;23;;;
230223;0000;15;;;
230224;0000;11;;;
230225;0000;5;;;
230226;0000;7;;;
230227;0000;8;;;
230228;0000;8;;;
230301;0000;5;;;
230302;0000;6;;;
230303;0000;4;;;
230304;0000;6;;;
230305;0000;5;;;
230306;0000;4;;;
230307;0000;3;;;
230308;0000;1;;;
230309;0000;4;;;
230310;0000;5;;;
230311;0000;5;;;
230312;0000;5;;;
230313;0000;4;;;
230314;0000;5;;;
230315;0000;4;;;
230316;0000;3;;;
230317;0000;3;;;
230318;0000;5;;;
230319;0000;4;;;
230320;0000;8;;;
230321;0000;13;;;
230322;0000;16;;;
230323;0000;25;;;
230324;0000;14;;;
230325;0000;9;;;
230326;0000;22;;;
230327;0000;20;;;
230328;0000;;;8;
230329;0000;;;6;
230330;0000;;;6;
230331;0000;;;7;
230401;0000;11;;;
230402;0000;9;;;
230403;0000;8;;;
230404;0000;14;;;
230405;0000;10;;;
230406;0000;6;;;
230407;0000;8;;;
230408;0000;16;;;
230409;0000;12;;;
230410;0000;8;;;
230411;0000;3;;;
230412;0000;7;;;
230413;0000;7;;;
230414;0000;13;;;
230415;0000;11;;;
230416;0000;12;;;
230417;0000;5;;;
230418;0000;9;;;
230419;0000;8;;;
230420;0000;8;;;
230421;0000;5;;;
230422;0000;14;;;
230423;0000;16;;;
230424;0000;20;;;
230425;0000;33;;;
230426;0000;50;;;
230427;0000;29;;;
230428;0000;3;;;
230429;0000;2;;;
230430;0000;5;;;
230501;0000;25;;;
230502;0000;19;;;
230503;0000;23;;;
230504;0000;23;;;
230505;0000;29;;;
230506;0000;29;;;
230507;0000;32;;;
230508;0000;26;;;
230509;0000;26;;;
230510;0000;27;;;
230511;0000;25;;;
230512;0000;17;;;
230513;0000;12;;;
230514;0000;14;;;
230515;0000;12;;;
230516;0000;24;;;
230517;0000;33;;;
230518;0000;41;;;
230519;0000;25;;;
230520;0000;17;;;
230521;0000;10;;;
230522;0000;8;;;
230523;0000;15;;;
230524;0000;25;;;
230525;0000;27;;;
230526;0000;15;;;
230527;0000;21;;;
230528;0000;43;;;
230529;0000;35;;;
230530;0000;44;;;
230531;0000;46;;;
230601;0000;33;;;
230602;0000;24;;;
230603;0000;32;;;
230604;0000;31;;;
230605;0000;36;;;
230606;0000;29;;;
230607;0000;23;;;
230608;0000;5;;;
230609;0000;22;;;
230610;0000;37;;;
230611;0000;23;;;
230612;0000;27;;;
230613;0000;38;;;
230614;0000;41;;;
230615;0000;46;;;
230616;0000;35;;;
230617;0000;82;;;
230618;0000;80;;;
230619;0000;71;;;
230620;0000;52;;;
230621;0000;22;;;
230622;0000;6;;;
230623;0000;3;;;
230624;0000;5;;;
230625;0000;16;;;
230626;0000;15;;;
230627;0000;22;;;
230628;0000;28;;;
230629;0000;33;;;
230630;0000;40;;;
230701;0000;28;;;
230702;0000;8;;;
230703;0000;19;;;
230704;0000;28;;;
230705;0000;58;;;
230706;0000;27;;;
230707;0000;21;;;
230708;0000;19;;;
230709;0000;25;;;
230710;0000;23;;;
230711;0000;37;;;
230712;0000;30;;;
230713;0000;31;;;
230714;0000;42;;;
230715;0000;22;;;
230716;0000;30;;;
